date_created,contacts_n,contacts_n_1,contacts_n_2,contacts_n_3,contacts_n_4,contacts_n_5,contacts_n_6,contacts_n_7,new_type,new_market
2022-03-16,null,null,null,null,null,1,null,null,type_4,market_2
2022-02-01,28,1,null,1,null,null,2,null,type_2,market_2
2022-01-05,11,2,0,0,0,0,0,0,type_1,market_2
2022-03-30,38,3,2,null,null,null,null,1,type_5,market_2
2022-01-24,1,0,0,0,0,0,0,0,type_1,market_2
2022-02-27,null,null,null,null,null,null,null,null,type_4,market_2
2022-03-28,29,null,2,null,1,null,null,1,type_2,market_2
2022-01-10,null,null,null,null,null,null,null,null,type_4,market_2
2022-01-03,5,null,null,null,null,null,null,null,type_3,market_2
2022-02-23,29,null,1,null,1,null,null,null,type_2,market_2
2022-03-24,20,null,null,null,1,1,null,null,type_2,market_2
2022-01-30,1,0,0,0,0,0,0,0,type_1,market_2
2022-03-12,9,null,null,2,null,null,null,null,type_2,market_2
2022-03-10,19,null,null,null,2,null,null,null,type_2,market_2
2022-03-28,2,null,null,null,null,null,null,null,type_3,market_2
2022-03-18,16,1,null,null,null,null,null,null,type_2,market_2
2022-03-17,3,0,0,0,0,0,0,0,type_1,market_2
2022-03-31,1,0,1,0,0,0,0,0,type_1,market_2
2022-01-15,2,0,0,0,0,0,0,0,type_1,market_2
2022-02-16,18,null,1,null,null,null,null,1,type_2,market_2
2022-02-14,25,null,null,1,null,null,null,null,type_2,market_2
2022-03-26,1,null,null,null,null,null,null,null,type_4,market_2
2022-03-22,26,1,2,null,null,null,1,2,type_5,market_2
2022-03-05,39,null,1,1,null,null,null,null,type_5,market_2
2022-02-14,null,null,null,null,null,null,null,null,type_4,market_2
2022-01-07,29,null,1,null,null,1,1,1,type_2,market_2
2022-01-16,9,1,null,null,null,null,null,null,type_2,market_2
2022-03-27,10,null,1,null,null,null,null,null,type_5,market_2
2022-01-11,null,null,null,null,null,null,null,null,type_3,market_2
2022-03-26,1,null,null,null,null,null,null,null,type_3,market_2
2022-01-10,8,0,0,0,0,0,0,0,type_1,market_2
2022-01-21,18,null,null,null,null,null,null,null,type_2,market_2
2022-02-26,16,null,null,null,null,1,null,1,type_5,market_2
2022-03-17,18,1,1,null,null,2,null,1,type_5,market_2
2022-02-07,33,2,1,null,null,null,null,null,type_5,market_2
2022-03-22,null,null,null,null,null,null,null,null,type_3,market_2
2022-02-24,15,1,1,2,1,null,null,1,type_2,market_2
2022-02-21,null,null,null,null,null,null,null,null,type_3,market_2
2022-01-11,4,1,0,0,0,0,0,0,type_1,market_2
2022-01-31,25,null,null,null,1,1,null,1,type_5,market_2
2022-02-12,null,null,null,null,null,null,null,null,type_4,market_2
2022-02-24,null,0,1,0,1,0,0,0,type_1,market_2
2022-03-31,null,null,null,null,null,null,null,null,type_4,market_2
2022-03-01,40,2,null,1,null,3,null,null,type_2,market_2
2022-03-04,null,null,null,null,null,null,null,null,type_4,market_2
2022-03-15,null,null,null,null,null,null,null,null,type_4,market_2
2022-02-15,20,null,2,null,null,null,null,null,type_2,market_2
2022-01-13,4,0,1,0,0,0,0,0,type_1,market_2
2022-03-21,1,null,null,null,null,1,null,null,type_4,market_2
2022-02-06,null,null,null,1,null,null,null,null,type_4,market_2
2022-02-23,25,null,null,null,1,null,null,null,type_5,market_2
2022-02-16,1,null,null,null,null,null,null,null,type_4,market_2
2022-01-29,null,null,null,null,null,null,null,null,type_4,market_2
2022-03-10,null,null,null,null,null,null,null,null,type_4,market_2
2022-03-27,3,0,0,0,0,0,0,0,type_1,market_2
2022-03-27,null,null,null,null,null,null,null,null,type_3,market_2
2022-03-09,2,null,null,null,null,null,null,null,type_3,market_2
2022-02-22,5,0,0,0,1,0,1,0,type_1,market_2
2022-01-20,null,null,null,null,null,null,null,null,type_4,market_2
2022-03-28,36,4,1,null,1,null,null,null,type_5,market_2
2022-03-12,2,0,0,0,1,1,0,0,type_1,market_2
2022-02-09,2,null,null,null,null,null,null,null,type_4,market_2
2022-03-26,14,null,1,null,null,null,1,1,type_5,market_2
2022-01-01,null,null,null,null,null,null,null,null,type_4,market_2
2022-03-29,38,4,null,1,null,null,null,1,type_5,market_2
2022-01-24,1,null,null,null,null,null,null,null,type_4,market_2
2022-01-09,5,0,0,0,0,0,0,0,type_1,market_2
2022-01-04,null,1,null,null,null,null,null,null,type_4,market_2
2022-01-27,44,3,null,null,1,1,null,1,type_2,market_2
2022-03-03,null,null,null,null,null,null,null,null,type_4,market_2
2022-01-22,23,1,1,1,null,null,null,1,type_5,market_2
2022-02-02,31,3,1,null,1,4,null,null,type_5,market_2
2022-02-20,null,null,null,null,null,null,null,null,type_4,market_2
2022-01-06,null,null,null,null,null,null,null,null,type_3,market_2
2022-02-24,null,null,null,null,null,null,null,null,type_4,market_2
2022-02-01,null,null,null,null,null,null,null,null,type_4,market_2
2022-02-28,null,null,null,null,null,null,null,null,type_3,market_2
2022-03-02,null,null,null,null,null,null,null,null,type_4,market_2
2022-03-29,1,null,null,1,null,null,null,null,type_3,market_2
2022-01-28,1,null,null,1,null,null,null,null,type_4,market_2
2022-01-29,19,null,null,null,null,null,1,null,type_5,market_2
2022-02-25,null,null,null,null,null,null,null,null,type_4,market_2
2022-03-21,5,0,0,1,0,0,1,0,type_1,market_2
2022-01-30,15,null,null,null,null,null,null,null,type_2,market_2
2022-01-26,null,null,null,null,null,null,null,null,type_4,market_2
2022-01-30,null,null,null,null,null,null,null,null,type_3,market_2
2022-02-04,25,2,null,null,1,null,null,null,type_5,market_2
2022-03-20,7,null,null,null,null,null,null,null,type_2,market_2
2022-03-01,20,2,null,null,null,1,null,null,type_5,market_2
2022-03-26,3,1,0,0,0,0,1,1,type_1,market_2
2022-01-14,null,null,null,null,null,null,null,null,type_3,market_2
2022-01-17,3,null,null,null,null,null,null,null,type_3,market_2
2022-02-01,1,null,null,null,null,null,null,null,type_3,market_2
2022-03-13,null,null,null,null,null,null,null,null,type_3,market_2
2022-03-07,null,null,null,null,null,null,null,null,type_4,market_2
2022-03-29,6,0,0,0,0,0,0,0,type_1,market_2
2022-01-31,1,null,null,null,null,null,null,null,type_3,market_2
2022-01-18,2,null,null,null,null,null,null,null,type_3,market_2
2022-03-14,32,3,null,null,null,null,null,null,type_2,market_2
2022-01-08,null,null,null,null,null,null,null,null,type_3,market_2
2022-02-18,null,null,null,null,null,null,null,null,type_4,market_2
2022-01-07,31,null,1,1,2,2,1,2,type_5,market_2
2022-03-24,2,null,null,null,1,1,null,null,type_3,market_2
2022-02-28,null,null,null,null,null,null,null,null,type_4,market_2
2022-01-21,2,null,null,null,null,null,null,null,type_3,market_2
2022-03-22,null,null,null,null,null,null,null,null,type_4,market_2
2022-01-25,null,null,null,null,null,null,null,null,type_4,market_2
2022-03-04,33,2,null,null,null,null,3,null,type_2,market_2
2022-03-09,null,null,null,null,null,null,null,null,type_4,market_2
2022-03-02,1,0,0,0,0,0,0,0,type_1,market_2
2022-03-20,null,null,null,null,null,null,null,null,type_3,market_2
2022-03-07,2,0,1,0,0,0,0,0,type_1,market_2
2022-03-24,2,0,0,0,0,0,0,0,type_1,market_2
2022-01-02,null,null,null,null,null,null,null,null,type_4,market_2
2022-01-09,null,null,null,null,null,null,null,null,type_4,market_2
2022-03-22,17,1,null,null,null,null,1,null,type_2,market_2
2022-01-10,37,null,1,1,null,null,null,null,type_2,market_2
2022-01-28,36,2,null,2,null,1,null,null,type_2,market_2
2022-03-04,16,1,null,null,null,null,1,null,type_5,market_2
2022-02-02,null,null,null,null,null,null,null,null,type_4,market_2
2022-02-08,24,null,1,null,null,null,null,null,type_5,market_2
2022-02-18,18,1,1,null,null,1,null,null,type_5,market_2
2022-02-13,11,null,1,null,null,null,null,null,type_2,market_2
2022-03-19,11,1,1,1,1,1,null,null,type_5,market_2
2022-01-29,1,0,0,0,0,0,0,0,type_1,market_2
2022-02-17,33,2,null,null,1,2,3,null,type_2,market_2
2022-02-15,23,1,1,1,2,null,null,null,type_5,market_2
2022-02-11,2,0,0,0,0,0,0,0,type_1,market_2
